household_id,cluster,property_type,construction_age_band,floor_area_m2,insulation_quality,tenure_type,num_occupants,income_band,occupancy_pattern,children_present,heating_type,cooling_system,cooking_fuel,solar_pv,pv_capacity_kwp,ev_ownership
482,2,apartment,1970–1990,44.1,medium,social housing,2,medium,retired,no,heat pump,none,electric,no,0.0,no
483,4,detached house,before 1945,180.1,poor,social housing,3,high,working adults,yes,gas boiler,reversible heat pump,electric,yes,6.36,yes
484,3,detached house,1945–1970,157.6,medium,owner-occupied,3,high,working adults,yes,gas boiler,AC unit,gas,no,0.0,no
485,2,terraced,1990–2010,134.1,good,social housing,2,high,mixed,no,heat pump,none,electric,no,0.0,no
486,1,terraced,after 2010,63.8,medium,owner-occupied,3,high,students,yes,heat pump,none,gas,yes,2.19,no
487,0,terraced,after 2010,84.8,medium,owner-occupied,5,high,working adults,no,gas boiler,AC unit,gas,no,0.0,no
488,3,terraced,1945–1970,119.7,poor,owner-occupied,5,high,mixed,no,gas boiler,reversible heat pump,gas,no,0.0,no
489,4,detached house,1990–2010,126.3,medium,private rental,3,high,working adults,yes,gas boiler,none,electric,no,0.0,yes
490,3,semi-detached,1990–2010,123.6,poor,owner-occupied,2,high,students,no,gas boiler,reversible heat pump,electric,no,0.0,no
491,1,terraced,1990–2010,95.7,medium,private rental,2,high,working adults,no,heat pump,none,gas,no,0.0,no
492,6,semi-detached,after 2010,151.8,medium,owner-occupied,2,high,mixed,no,gas boiler,none,electric,no,0.0,no
493,2,detached house,1990–2010,196.6,good,private rental,2,high,mixed,no,electric heating,none,electric,yes,3.1,no
494,3,apartment,before 1945,92.2,poor,owner-occupied,1,high,working adults,no,gas boiler,reversible heat pump,electric,no,0.0,no
495,0,apartment,before 1945,68.2,medium,owner-occupied,2,high,working adults,no,gas boiler,none,gas,no,0.0,no
496,6,terraced,1990–2010,103.6,medium,owner-occupied,4,high,working adults,yes,gas boiler,none,gas,yes,1.96,no
497,2,apartment,1945–1970,76.0,medium,private rental,2,high,working adults,no,electric heating,AC unit,electric,no,0.0,no
498,2,terraced,before 1945,110.7,poor,owner-occupied,2,high,retired,no,electric heating,none,electric,yes,4.36,yes
499,1,apartment,1970–1990,64.3,medium,social housing,1,low,students,no,heat pump,none,gas,no,0.0,no
500,0,apartment,1990–2010,55.0,good,private rental,3,high,mixed,yes,gas boiler,none,electric,no,0.0,no
